#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
-1.026930e-15 1.000000e+00 -2.240652e-15 1.966655e+00 -5.228851e-15 5.044327e+00 1.000000e-16 -2.680577e-01 1.000000e-16 1.634509e-01 1.000000e-16 8.270328e-03 
-1.021285e-15 1.000000e+00 -2.273483e-15 2.123292e+00 -5.598003e-15 6.100147e+00 1.000000e-16 -8.312054e-02 1.000000e-16 1.368377e-01 1.000000e-16 1.107998e-04 
-1.033808e-15 1.000000e+00 -2.174055e-15 2.064526e+00 -5.205103e-15 5.699515e+00 1.000000e-16 -1.666728e-01 1.000000e-16 1.598566e-01 1.000000e-16 3.869580e-04 
-9.198409e-16 1.000000e+00 -2.071422e-15 2.123447e+00 -4.794985e-15 6.100981e+00 1.000000e-16 -8.260961e-02 1.000000e-16 1.365928e-01 1.000000e-16 1.373731e-04 
-1.083404e-15 1.000000e+00 -2.509715e-15 2.139624e+00 -5.731731e-15 6.212272e+00 1.000000e-16 -5.857182e-02 1.000000e-16 1.291626e-01 1.000000e-16 3.140520e-04 
-1.091875e-15 1.000000e+00 -2.366177e-15 1.952126e+00 -5.464201e-15 4.987046e+00 1.000000e-16 -3.656866e-01 1.000000e-16 2.204679e-01 1.000000e-16 3.291611e-04 
-9.865496e-16 1.000000e+00 -2.221583e-15 2.149294e+00 -5.013735e-15 6.281510e+00 1.000000e-16 -4.697284e-02 1.000000e-16 1.263423e-01 1.000000e-16 2.058626e-04 
-9.624996e-16 1.000000e+00 -2.046321e-15 2.109630e+00 -5.076562e-15 6.003948e+00 1.000000e-16 -9.986354e-02 1.000000e-16 1.407547e-01 1.000000e-16 3.321582e-04 
-1.134517e-15 1.000000e+00 -2.593184e-15 1.820825e+00 -5.510540e-15 4.229808e+00 1.000000e-16 -6.661199e-01 1.000000e-16 3.174223e-01 1.000000e-16 8.021557e-04 
-1.047014e-15 1.000000e+00 -2.201827e-15 2.080264e+00 -5.271595e-15 5.794864e+00 1.000000e-16 -1.285413e-01 1.000000e-16 1.438841e-01 1.000000e-16 1.720354e-03 
-1.039039e-15 1.000000e+00 -2.187260e-15 2.073195e+00 -4.859181e-15 5.758914e+00 1.000000e-16 -1.558599e-01 1.000000e-16 1.576191e-01 1.000000e-16 1.336767e-04 
-1.098491e-15 1.000000e+00 -2.609397e-15 2.087159e+00 -5.736494e-15 5.851484e+00 1.000000e-16 -1.331325e-01 1.000000e-16 1.504683e-01 1.000000e-16 2.865188e-04 
-9.727127e-16 1.000000e+00 -2.272920e-15 2.123935e+00 -5.138978e-15 6.094294e+00 1.000000e-16 -6.921271e-02 1.000000e-16 1.284839e-01 1.000000e-16 1.281528e-03 
-1.050033e-15 1.000000e+00 -2.262568e-15 2.167656e+00 -5.655418e-15 6.414139e+00 1.000000e-16 -2.514682e-02 1.000000e-16 1.209165e-01 1.000000e-16 4.864209e-05 
-1.040390e-15 1.000000e+00 -2.271718e-15 2.003908e+00 -5.315668e-15 5.306125e+00 1.000000e-16 -2.654958e-01 1.000000e-16 1.884858e-01 1.000000e-16 6.331862e-04 
-1.039254e-15 1.000000e+00 -2.458137e-15 2.002672e+00 -5.309864e-15 5.298899e+00 1.000000e-16 -2.687616e-01 1.000000e-16 1.898705e-01 1.000000e-16 5.199152e-04 
-9.930468e-16 1.000000e+00 -2.194133e-15 2.076799e+00 -4.868938e-15 5.778819e+00 1.000000e-16 -1.442663e-01 1.000000e-16 1.521162e-01 1.000000e-16 7.173887e-04 
-1.075116e-15 1.000000e+00 -2.352323e-15 2.053544e+00 -5.544782e-15 5.627807e+00 1.000000e-16 -1.851707e-01 1.000000e-16 1.656896e-01 1.000000e-16 2.765390e-04 
-1.126945e-15 1.000000e+00 -2.359374e-15 2.058297e+00 -5.567561e-15 5.660307e+00 1.000000e-16 -1.794738e-01 1.000000e-16 1.646732e-01 1.000000e-16 9.309463e-05 
-1.045220e-15 1.000000e+00 -2.472980e-15 2.011857e+00 -5.348532e-15 5.358922e+00 1.000000e-16 -2.558954e-01 1.000000e-16 1.871946e-01 1.000000e-16 1.665651e-04 
-1.161245e-15 1.000000e+00 -2.519566e-15 2.036150e+00 -5.457503e-15 5.509670e+00 1.000000e-16 -2.057751e-01 1.000000e-16 1.689964e-01 1.000000e-16 1.063045e-03 
-9.855346e-16 1.000000e+00 -2.321002e-15 2.147617e+00 -5.405099e-15 6.269252e+00 1.000000e-16 -4.872118e-02 1.000000e-16 1.266758e-01 1.000000e-16 2.455878e-04 
-1.049404e-15 1.000000e+00 -2.292300e-15 2.016929e+00 -4.990080e-15 5.389905e+00 1.000000e-16 -2.447105e-01 1.000000e-16 1.829507e-01 1.000000e-16 4.151763e-04 
-1.121511e-15 1.000000e+00 -2.415609e-15 1.886884e+00 -5.521788e-15 4.600308e+00 1.000000e-16 -5.024354e-01 1.000000e-16 2.631276e-01 1.000000e-16 6.849201e-04 
-1.047168e-15 1.000000e+00 -2.206858e-15 2.085240e+00 -5.322156e-15 5.839093e+00 1.000000e-16 -1.367659e-01 1.000000e-16 1.517840e-01 1.000000e-16 2.142811e-04 
-1.061934e-15 1.000000e+00 -2.513746e-15 2.034161e+00 -5.447626e-15 5.500004e+00 1.000000e-16 -2.144427e-01 1.000000e-16 1.735121e-01 1.000000e-16 5.175417e-04 
-1.010950e-15 1.000000e+00 -2.416785e-15 2.187444e+00 -5.940217e-15 6.557687e+00 1.000000e-16 -8.466652e-04 1.000000e-16 1.143494e-01 1.000000e-16 2.952178e-05 
-1.047417e-15 1.000000e+00 -2.207334e-15 2.085511e+00 -5.323418e-15 5.840677e+00 1.000000e-16 -1.360212e-01 1.000000e-16 1.514509e-01 1.000000e-16 2.463403e-04 
-1.086754e-15 1.000000e+00 -2.380509e-15 2.070590e+00 -5.239291e-15 5.741156e+00 1.000000e-16 -1.593025e-01 1.000000e-16 1.584244e-01 1.000000e-16 1.880459e-04 
nan nan nan nan nan nan 1.000000e-16 -2.691401e-01 1.000000e-16 -4.730694e-02 1.000000e-16 -2.124437e-04 
-9.653348e-16 1.000000e+00 -2.254271e-15 2.113195e+00 -5.085074e-15 6.025011e+00 1.000000e-16 -9.034288e-02 1.000000e-16 1.365230e-01 1.000000e-16 7.382411e-04 
-1.035510e-15 1.000000e+00 -2.449171e-15 1.997810e+00 -5.289488e-15 5.268747e+00 1.000000e-16 -2.783401e-01 1.000000e-16 1.931069e-01 1.000000e-16 4.275695e-04 
-1.076669e-15 1.000000e+00 -2.355678e-15 2.055623e+00 -5.552300e-15 5.641050e+00 1.000000e-16 -1.811990e-01 1.000000e-16 1.642872e-01 1.000000e-16 3.411913e-04 
-1.026482e-15 1.000000e+00 -2.287151e-15 2.130820e+00 -5.240651e-15 6.150279e+00 1.000000e-16 -7.001621e-02 1.000000e-16 1.322131e-01 1.000000e-16 3.561830e-04 
-1.049225e-15 1.000000e+00 -2.291786e-15 2.016278e+00 -4.987799e-15 5.384998e+00 1.000000e-16 -2.445066e-01 1.000000e-16 1.824030e-01 1.000000e-16 5.543935e-04 
-1.053189e-15 1.000000e+00 -2.221788e-15 2.094713e+00 -5.377433e-15 5.903718e+00 1.000000e-16 -1.235227e-01 1.000000e-16 1.482418e-01 1.000000e-16 1.397240e-04 
-1.057979e-15 1.000000e+00 -2.311916e-15 2.029214e+00 -5.040466e-15 5.469251e+00 1.000000e-16 -2.247263e-01 1.000000e-16 1.773034e-01 1.000000e-16 3.140789e-04 
-1.039319e-15 1.000000e+00 -2.217059e-15 2.148617e+00 -5.357106e-15 6.267221e+00 1.000000e-16 -3.676324e-02 1.000000e-16 1.197900e-01 1.000000e-16 1.169972e-03 
